Aux out [V]	Aux in [V]	PDH out [a.u.]
1.3444E-1	6.1241E-1	-4.6300E+2
1.3632E-1	6.1508E-1	-4.0500E+2
1.3844E-1	6.1314E-1	-8.4500E+2
1.4032E-1	6.1290E-1	-2.0000E+1
1.4221E-1	6.1265E-1	1.4700E+2
1.4409E-1	6.1314E-1	-3.7800E+2
1.4597E-1	6.1460E-1	-1.6300E+2
1.4785E-1	6.1290E-1	4.3000E+1
1.4997E-1	6.1217E-1	-7.1600E+2
1.5185E-1	6.1338E-1	-9.1500E+2
1.5374E-1	6.1387E-1	-2.5200E+2
1.5562E-1	6.1290E-1	1.0100E+2
1.5750E-1	6.1241E-1	-7.9200E+2
1.5962E-1	6.1362E-1	2.8500E+2
1.6150E-1	6.1192E-1	1.3200E+2
1.6338E-1	6.1290E-1	-2.6600E+2
1.6527E-1	6.1120E-1	2.1000E+1
1.6715E-1	6.1290E-1	-8.4000E+2
1.6903E-1	6.1071E-1	-7.3300E+2
1.7115E-1	6.1217E-1	-4.5500E+2
1.7303E-1	6.1022E-1	1.6300E+2
1.7491E-1	6.0974E-1	-3.4900E+2
1.7680E-1	6.1095E-1	-1.6000E+2
1.7868E-1	6.1022E-1	-1.6000E+2
1.8080E-1	6.0901E-1	-4.7200E+2
1.8268E-1	6.0828E-1	-9.2000E+1
1.8456E-1	6.0731E-1	-1.2900E+2
1.8644E-1	6.0585E-1	-5.6700E+2
1.8833E-1	6.0342E-1	-2.8400E+2
1.9021E-1	6.0439E-1	2.8100E+2
1.9233E-1	6.0415E-1	-6.0700E+2
1.9421E-1	6.0148E-1	-7.2000E+1
1.9609E-1	6.0148E-1	1.4600E+2
1.9797E-1	5.9978E-1	1.0000E+2
1.9986E-1	5.9589E-1	-4.4000E+1
2.0197E-1	5.9686E-1	-1.8800E+2
2.0386E-1	5.9540E-1	-9.6000E+1
2.0562E-1	5.9200E-1	1.1900E+2
2.0750E-1	5.8933E-1	-2.4000E+1
2.0939E-1	5.8642E-1	3.3800E+2
2.1127E-1	5.8277E-1	-3.0700E+2
2.1339E-1	5.7937E-1	-1.2700E+2
2.1527E-1	5.7694E-1	1.3800E+2
2.1715E-1	5.7378E-1	-1.8000E+1
2.1903E-1	5.6990E-1	3.1200E+2
2.2092E-1	5.6577E-1	1.2000E+1
2.2303E-1	5.6261E-1	1.5000E+1
2.2492E-1	5.5969E-1	1.4900E+2
2.2680E-1	5.5532E-1	9.4700E+2
2.2868E-1	5.4925E-1	7.3600E+2
2.3056E-1	5.4658E-1	1.6700E+2
2.3245E-1	5.3880E-1	3.6300E+2
2.3456E-1	5.3419E-1	2.3300E+2
2.3645E-1	5.2763E-1	6.3800E+2
2.3833E-1	5.2155E-1	8.8700E+2
2.4021E-1	5.1645E-1	3.5500E+2
2.4209E-1	5.0795E-1	5.7500E+2
2.4421E-1	5.0285E-1	2.8300E+2
2.4610E-1	4.9507E-1	6.7600E+2
2.4798E-1	4.8803E-1	7.5900E+2
2.4986E-1	4.8147E-1	1.1100E+3
2.5174E-1	4.7370E-1	8.2400E+2
2.5386E-1	4.6689E-1	7.8900E+2
2.5574E-1	4.5766E-1	1.0550E+3
2.5763E-1	4.5086E-1	1.2530E+3
2.5951E-1	4.4309E-1	1.6080E+3
2.6139E-1	4.3385E-1	1.6640E+3
2.6327E-1	4.2632E-1	1.0200E+3
2.6539E-1	4.1904E-1	1.5110E+3
2.6727E-1	4.1223E-1	1.4800E+3
2.6916E-1	4.0495E-1	1.3900E+3
2.7104E-1	3.9596E-1	9.3400E+2
2.7292E-1	3.8964E-1	9.6300E+2
2.7504E-1	3.8332E-1	1.1040E+3
2.7692E-1	3.7385E-1	1.0680E+3
2.7880E-1	3.6826E-1	9.9900E+2
2.8069E-1	3.6267E-1	1.2040E+3
2.8257E-1	3.5709E-1	8.0100E+2
2.8445E-1	3.5053E-1	1.0430E+3
2.8657E-1	3.4518E-1	6.0000E+1
2.8845E-1	3.4008E-1	9.9700E+2
